# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	8218
#@/user_id	740140e4-90a9-4364-babb-eaadd52cc38c
a 	啊	c=22 d=1.00954 t=7888
mei tu 	美圖	c=0 d=0.1 t=4116
mei tu xiu xiu 	美圖秀秀	c=1 d=1 t=4117
mei xiang dao 	沒想到	c=1 d=1 t=3707
mei yong 	沒用	c=9 d=2.07354 t=4690
mei yong diao 	沒用掉	c=1 d=1 t=4431
mei you 	沒有	c=25 d=0.818731 t=8218
mei you ren 	沒有人	c=1 d=1 t=7746
mei zheng 	沒整	c=1 d=1 t=3806
mei zi 	妹子	c=3 d=2.01403 t=6335
men 	們	c=1 d=1 t=1336
men 	門	c=1 d=0.688605 t=1443
men jin 	門禁	c=1 d=1 t=3254
meng 	夢	c=0 d=0.1 t=1334
meng duo 	夢多	c=3 d=2.28205 t=4865
meng fan liao 	孟煩了	c=1 d=1 t=311
meng xiang 	夢想	c=7 d=1.97516 t=8218
mi 	蜜	c=0 d=0.1 t=7110
mi ma 	密碼	c=1 d=1.00006 t=6856
mi xue bing cheng 	蜜雪冰城	c=1 d=1 t=7111
mi yao 	密鑰	c=1 d=1 t=967
mian 	棉	c=0 d=0.1 t=547
mian 	麪	c=1 d=1 t=6607
mian fei 	免費	c=0 d=0.1 t=3453
mian fei diao yong 	免費調用	c=1 d=1 t=3454
mian lin 	面臨	c=1 d=1 t=4927
mian shi 	面試	c=1 d=1 t=4176
mian xi 	免息	c=1 d=1 t=6015
miao 	秒	c=3 d=1 t=6836
mie jue 	滅絕	c=1 d=1 t=1027
mie you 	咩有	c=1 d=1 t=2907
min 	閩	c=2 d=1.32142 t=3447
min guo 	民國	c=1 d=1 t=4967
min jian 	民間	c=1 d=1 t=179
min jie 	敏姐	c=1 d=1 t=3362
ming ling 	命令	c=9 d=1.06051 t=7987
ming ling hang 	命令行	c=1 d=1 t=962
ming ming 	明明	c=2 d=1 t=4593
ming nian 	明年	c=3 d=1.00001 t=5317
ming qi 	名氣	c=1 d=1 t=5618
ming yun 	命運	c=1 d=1 t=2663
ming zhu 	名著	c=1 d=1 t=7406
ming zi 	名字	c=3 d=1.06425 t=6144
mo hu 	模糊	c=2 d=1.91851 t=4343
mo kuai 	模塊	c=0 d=0.106788 t=8057
mo ren 	默認	c=1 d=1.00002 t=6672
mo ren zi ti 	默認字體	c=1 d=1 t=4954
mo xing 	模型	c=1 d=1 t=5635
mou ge 	某個	c=4 d=1.00051 t=5448
mou xie 	某些	c=1 d=1 t=2895
mu ban 	母版	c=1 d=1 t=8137
mu lu 	目錄	c=15 d=1.00047 t=5422
mu qian 	目前	c=3 d=1.00051 t=5119
mu tiao 	木條	c=1 d=1 t=4644
mu zhi 	拇指	c=6 d=2.61893 t=656
na 	哪	c=1 d=1 t=5909
na 	拿	c=2 d=1.00009 t=5699
na 	那	c=13 d=1.03441 t=7903
na bian 	那邊	c=1 d=1 t=724
na bu 	那不	c=0 d=0.1 t=3059
na bu dao 	拿不到	c=1 d=1 t=1502
na bu de 	那不得	c=1 d=1 t=5173
na bu hui lai 	那不回來	c=1 d=1 t=3060
na bu zhi yu 	那不至於	c=1 d=1 t=7531
na dao 	拿到	c=1 d=1 t=267
na dou you 	那都有	c=1 d=1 t=1072
na er 	納爾	c=4 d=3.68128 t=3949
na ge 	哪個	c=16 d=2.09386 t=8060
na ge 	拿個	c=3 d=1 t=3952
na ge 	那個	c=11 d=0.904837 t=8218
na geng 	那更	c=1 d=1 t=7579
na hui 	那會	c=1 d=1 t=5626
na ji ge 	那幾個	c=2 d=1 t=7070
na jiao 	那叫	c=1 d=1 t=5436
na le 	哪了	c=1 d=1 t=6645
na le 	拿了	c=1 d=1 t=6053
na li 	哪裏	c=5 d=1 t=8013
na li 	那裏	c=1 d=1 t=4982
na liang ge 	那兩個	c=1 d=1 t=3314
na me 	那麼	c=0 d=0.1 t=3238
na me da 	那麼大	c=1 d=1 t=7593
na me xi huan 	那麼喜歡	c=1 d=1 t=3239
na nie 	拿捏	c=1 d=1 t=4848
na pa 	哪怕	c=1 d=1 t=7594
na qi lai 	拿起來	c=1 d=1 t=4646
na sha 	那啥	c=1 d=1 t=5332
na shi 	那是	c=2 d=1.41895 t=1394
na shou 	哪首	c=1 d=1 t=6488
na tai 	哪臺	c=1 d=1 t=2413
na tai 	那臺	c=2 d=1.97531 t=8102
na tian 	那天	c=1 d=1 t=2511
na tiao 	那條	c=0 d=0.1 t=7246
na tiao xian 	那條線	c=1 d=1 t=7247
na wo 	那我	c=1 d=1 t=5281
na xie 	哪些	c=3 d=1 t=8155
na xie ren 	那些人	c=1 d=1 t=7576
na yang 	那樣	c=3 d=2.5343 t=1967
na ye shi 	那也是	c=1 d=1 t=573
na yi tian 	哪一天	c=1 d=1 t=7943
na zhe 	拿着	c=2 d=1 t=7855
nai nai 	奶奶	c=1 d=1 t=4887
nan 	男	c=4 d=1.23056 t=7342
nan 	難	c=2 d=1 t=6639
nan dao 	難道	c=2 d=1.00001 t=2959
nan gang qu 	南崗區	c=1 d=1 t=3437
nan guai 	難怪	c=1 d=1 t=7592
nan jing 	南京	c=1 d=1 t=8193
nan jing da tu shang 	南京大圖上	c=1 d=1 t=3835
nan niang 	男娘	c=1 d=1 t=5239
nan ren 	男人	c=1 d=1 t=6100
nan shou 	難受	c=0 d=0.1 t=2962
nan xing 	男性	c=1 d=1 t=7339
nan zhu bo 	男主播	c=1 d=1 t=4719
nao 	撓	c=1 d=1 t=5563
ne 	呢	c=18 d=1.47276 t=8173
nei bu 	內部	c=1 d=1 t=4199
nei cun 	內存	c=6 d=3.8263 t=5814
nei cun tiao 	內存條	c=1 d=1 t=3891
nei zhi 	內置	c=1 d=1 t=227
neng 	能	c=8 d=1.00093 t=7778
neng bu neng 	能不能	c=2 d=1 t=8073
neng chi 	能喫	c=1 d=1 t=6620
neng fa 	能發	c=1 d=1 t=6074
neng fan yi 	能翻譯	c=1 d=1 t=3180
neng kan dao 	能看到	c=2 d=1 t=4943
neng li 	能力	c=0 d=0.1 t=6404
ni 	你	c=28 d=0.150514 t=7809
ni 	妮	c=1 d=1 t=7976
ni 	尼	c=1 d=1 t=7975
ni 	逆	c=1 d=1 t=6246
ni bang wo 	你幫我	c=1 d=1 t=3091
ni bian 	你編	c=1 d=1 t=4654
ni bie 	你別	c=0 d=0.1 t=2337
ni bie gao su 	你別告訴	c=1 d=1 t=2338
ni bu neng 	你不能	c=0 d=0.1 t=3985
ni bu neng bi wo 	你不能比我	c=1 d=1 t=3986
ni bu shi 	你不是	c=1 d=1 t=6339
ni cheng 	暱稱	c=1 d=1 t=3704
ni de 	你的	c=3 d=1 t=5531
ni de xuan ze 	你的選擇	c=1 d=1 t=6763
ni gao su 	你高速	c=1 d=1 t=5683
ni ge 	尼歌	c=1 d=1 t=2522
ni hao 	你好	c=1 d=1 t=150
ni he 	你和	c=1 d=1 t=1479
ni hui fu 	你回覆	c=1 d=1 t=3654
ni kai 	你開	c=1 d=1 t=4310
ni kan 	你看	c=1 d=1 t=6338
ni kou 	妮蔻	c=1 d=1 t=6810
ni lian 	你連	c=1 d=1 t=4873
ni ma 	尼瑪	c=1 d=1 t=8202
ni mei 	你沒	c=1 d=1 t=2848
ni mei lai 	你沒來	c=1 d=1 t=4612
ni men 	你們	c=9 d=1.10026 t=8144
ni men yong 	你們用	c=1 d=1 t=3543
ni meng 	你夢	c=1 d=1 t=472
ni na 	你拿	c=1 d=1 t=4794
ni ping mu 	你屏幕	c=1 d=1 t=2340
ni rang 	你讓	c=1 d=1 t=8208
ni shi 	你是	c=2 d=1 t=7642
ni shuo 	你說	c=3 d=1.00166 t=6973
ni wen wen 	你問問	c=1 d=1 t=1232
ni wo 	你我	c=1 d=1 t=6245
ni xiang 	你想	c=1 d=1 t=754
ni xiang guo 	你想過	c=1 d=1 t=7810
ni xiao xin 	你小心	c=1 d=1 t=5189
ni xiao zi 	你小子	c=1 d=1 t=6414
ni ye 	你也	c=1 d=1 t=3664
ni yi wei 	你以爲	c=0 d=0.1 t=5590
ni yi wei shi 	你以爲是	c=1 d=1 t=5591
ni yong 	你用	c=1 d=1 t=850
ni you 	你有	c=1 d=1.09501 t=4295
ni you me 	你有麼	c=1 d=1 t=4296
ni za 	你咋	c=5 d=1.18589 t=6500
ni zao shang 	你早上	c=1 d=1 t=6016
ni zen me 	你怎麼	c=1 d=1 t=5177
ni zhe 	你這	c=1 d=1 t=6386
ni zhen 	你真	c=1 d=1 t=5727
ni zhi dao 	你知道	c=1 d=1 t=3672
ni zhi jie 	你直接	c=1 d=1 t=4758
ni zui xi huan 	你最喜歡	c=1 d=1 t=6765
nian 	年	c=4 d=1.13212 t=2293
nian ji 	年紀	c=1 d=1 t=2946
nian ling 	年齡	c=1 d=1.06561 t=7134
nian ling da 	年齡大	c=1 d=1 t=7135
nian qian 	年前	c=1 d=1 t=7038
nian zhong 	年終	c=2 d=1.98511 t=759
niang 	娘	c=1 d=1 t=5729
niang pao 	娘炮	c=1 d=1 t=7345
niao dai 	尿袋	c=2 d=1.76338 t=5223
nin de 	您的	c=1 d=1 t=2865
ning 	擰	c=0 d=0.1 t=7839
ning bo 	寧波	c=2 d=1 t=5016
ning bu qing 	擰不清	c=1 d=1 t=7840
niu 	牛	c=1 d=1 t=2269
niu tou 	牛頭	c=5 d=1.01742 t=8123
niu yue ren 	紐約人	c=1 d=1 t=7388
nong 	弄	c=1 d=1 t=4335
nong de 	弄得	c=1 d=1 t=6715
nong fu shan quan 	農夫山泉	c=2 d=1.89137 t=1302
nong li 	農曆	c=1 d=1 t=2463
nong si 	弄死	c=1 d=1 t=7895
nong ye 	農業	c=1 d=1 t=4144
nu li 	努力	c=1 d=1 t=6258
nu li 	奴隸	c=1 d=1 t=6261
nuo 	諾	c=1 d=1 t=5064
nv 	女	c=3 d=0.617246 t=1840
nv de 	女的	c=3 d=1.00046 t=4371
nv qian duan 	女前端	c=1 d=1 t=1841
nv ren 	女人	c=1 d=1 t=5605
nv shen 	女神	c=0 d=0.1 t=8016
nv shen lei 	女神淚	c=1 d=1 t=8017
nv sheng 	女生	c=1 d=1 t=296
nv zhu 	女主	c=1 d=1 t=1117
o 	哦	c=11 d=0.810584 t=8218
o o 	哦哦	c=3 d=1.62847 t=4626
ou he 	耦合	c=1 d=1 t=2855
ou zhou 	歐洲	c=2 d=1.9802 t=6299
pa 	怕	c=2 d=1.99501 t=4792
pa 	扒	c=2 d=1.97045 t=7272
pa 	爬	c=2 d=1 t=5880
pa chong 	爬蟲	c=1 d=1 t=8091
pa sha 	怕啥	c=1 d=1 t=4752
pai 	拍	c=1 d=1 t=1438
pai 	派	c=1 d=0.496531 t=5086
pai fang 	牌坊	c=1 d=1 t=7282
pai sha 	拍啥	c=1 d=1 t=1995
pai xia lai 	拍下來	c=1 d=1 t=1835
pai zhao 	拍照	c=1 d=1 t=3774
pai zi 	牌子	c=1 d=1 t=6523
pan 	盤	c=7 d=5.41694 t=2479
pan fu 	盤符	c=1 d=1 t=2481
pan hao 	盤號	c=1 d=1 t=2475
pan sen 	潘森	c=2 d=1.9802 t=7047
pang bian 	旁邊	c=1 d=1 t=5743
pang zi 	胖子	c=2 d=1.99005 t=7052
pao 	炮	c=1 d=1 t=4804
pao 	跑	c=2 d=1 t=4582
pao bu 	跑步	c=0 d=0.1 t=3824
pao bu qi lai 	跑步起來	c=1 d=1 t=3825
pao chu lai 	跑出來	c=1 d=1 t=550
pao dou 	跑都	c=1 d=1 t=3824
pao hui 	炮灰	c=1 d=1 t=1422
pao man 	跑滿	c=1 d=1 t=513
pei 	陪	c=0 d=0.1 t=4507
pei se 	配色	c=1 d=1 t=4989
pei zhi 	配置	c=12 d=0.856415 t=8218
pei zhi kuang 	配置狂	c=1 d=1 t=5458
pei zhi wen jian 	配置文件	c=3 d=2.79629 t=5468
peng 	彭	c=1 d=1 t=4340
peng 	碰	c=1 d=1 t=781
peng dao guo 	碰到過	c=1 d=1 t=3665
peng you 	朋友	c=1 d=1 t=1613
pi fu 	皮膚	c=0 d=0.1 t=3942
pi zhun 	批准	c=1 d=1 t=2669
pian 	片	c=1 d=1 t=1139
pian duan 	片段	c=1 d=1 t=961
pian men 	偏門	c=1 d=1 t=1317
pian pian 	偏偏	c=1 d=1 t=7699
pian yi 	便宜	c=2 d=1.08937 t=7108
piao 	票	c=4 d=1.05212 t=6110
piao fang 	票房	c=1 d=1 t=1060
piao hao 	票號	c=0 d=0.1 t=5517
pin 	拼	c=2 d=1.11136 t=1332
pin kun sheng 	貧困生	c=1 d=1 t=1490
pin pai 	品牌	c=1 d=1 t=902
pin wei 	品味	c=1 d=0.759572 t=8218
ping 	憑	c=1 d=1 t=5946
ping guo 	蘋果	c=4 d=2.7872 t=4525
ping jia 	評價	c=0 d=0.1 t=8205
ping jia yi xia 	評價一下	c=1 d=1 t=8206
ping jing 	瓶頸	c=1 d=1 t=492
ping jun 	平均	c=1 d=1 t=1097
ping lun 	評論	c=1 d=1 t=1834
ping mu 	屏幕	c=0 d=0.1 t=2339
ping shen me 	憑什麼	c=2 d=1.8781 t=7270
ping tai 	平臺	c=3 d=0.100013 t=8111
po 	破	c=1 d=1.09802 t=6490
po ban 	破班	c=1 d=1 t=6531
pu tong 	普通	c=1 d=1 t=3563
qi 	器	c=1 d=1 t=860
qi 	期	c=1 d=1 t=6014
qi 	起	c=0 d=0.1 t=5786
qi 	騎	c=3 d=1.1145 t=6880
qi bu lai 	起不來	c=1 d=1 t=3797
qi dai 	期待	c=1 d=1 t=7697
qi dong 	啓動	c=9 d=1.35757 t=5435
qi dong zhuan huan 	啓動轉換	c=1 d=1 t=3560
qi guan 	器官	c=1 d=1 t=4157
qi jian 	期間	c=1 d=1 t=7547
qi lai 	起來	c=6 d=0.697301 t=7915
qi shi 	七十	c=0 d=0.1 t=4122
qi shi 	其實	c=3 d=0.839457 t=8218
qi shi 	啓示	c=2 d=1.00254 t=1722
qi shi 	騎士	c=0 d=0.1 t=5725
qi shi duo 	七十多	c=1 d=1 t=4123
qi ta 	其他	c=6 d=1.00211 t=6779
qi ta xin xi 	其他信息	c=1 d=1 t=2767
qi xian 	期限	c=1 d=1 t=4253
qi yong 	啓用	c=5 d=1.31381 t=5501
qian 	前	c=3 d=1 t=7036
qian 	簽	c=1 d=1 t=4909
qian 	錢	c=4 d=1.07503 t=6723
qian duan 	前端	c=1 d=1 t=4607
qian gu 	千古	c=1 d=1 t=6101
qian mian 	前面	c=1 d=1 t=6827
qian qi 	前期	c=1 d=1 t=4837
qian ti shi 	前提是	c=1 d=1 t=5141
qian tian 	前天	c=1 d=1 t=5556
qian zhui 	前綴	c=1 d=1 t=952
qian zou 	欠揍	c=1 d=1 t=6802
qiang 	強	c=2 d=0.103664 t=7034
qiang 	槍	c=0 d=0.1 t=1371
qiang da 	強大	c=1 d=1 t=4505
qiang le 	搶了	c=1 d=1 t=1192
qiang po zheng 	強迫症	c=1 d=1 t=5561
qie 	切	c=2 d=1 t=8044
qie chu 	切除	c=1 d=1 t=4101
qie huan 	切換	c=2 d=1 t=4705
qin 	親	c=1 d=1 t=6397
qin ai 	親愛	c=1 d=1 t=3436
qin hua 	侵華	c=1 d=1 t=1003
qin xin 	親信	c=1 d=1 t=1764
qing 	清	c=2 d=1 t=6598
qing 	請	c=1 d=1 t=1602
qing chang 	清場	c=1 d=1 t=1508
qing chun 	青春	c=1 d=1 t=7750
qing dan 	清單	c=1 d=1 t=4284
qing kuang 	情況	c=4 d=2.73167 t=2174
qing kuang xia 	情況下	c=2 d=1 t=7386
qing lian xi 	請聯繫	c=1 d=1 t=8003
qing qing song song 	輕輕鬆鬆	c=1 d=1 t=4307
qing qiu 	請求	c=3 d=1.02777 t=2914
qing xi 	清晰	c=1 d=1 t=3504
qing zhen 	清真	c=1 d=1 t=7868
qiong bi 	窮鄙	c=1 d=1 t=4518
qiu 	球	c=0 d=0.1 t=6382
qiu mi 	球迷	c=1 d=1.00937 t=7801
qiu sheng 	求聖	c=1 d=0.183326 t=3331
qiu sheng ke ji 	求聖科技	c=5 d=1.04446 t=4242
qu 	區	c=5 d=1.06748 t=2930
qu 	去	c=17 d=0.142657 t=8218
qu bei jing 	去北京	c=1 d=1 t=6168
qu bie 	區別	c=11 d=1.31639 t=8218
qu chu 	去除	c=1 d=1 t=172
qu diao 	去掉	c=1 d=1 t=3073
qu dong 	驅動	c=4 d=1.96179 t=5221
qu ge 	去個	c=1 d=1 t=4755
qu guang 	去逛	c=1 d=1 t=5942
qu jian shen fang 	去健身房	c=1 d=1 t=1815
qu kan shu 	去砍樹	c=1 d=1 t=4636
qu le 	去了	c=1 d=1 t=1481
qu ni 	娶你	c=1 d=1 t=5731
qu quan zhou 	去泉州	c=1 d=1 t=740
qu shi 	趨勢	c=1 d=1 t=7630
qu song 	去送	c=1 d=1 t=4738
qu xia dan 	去下單	c=1 d=1 t=5312
quan 	券	c=1 d=1 t=6054
quan 	勸	c=0 d=0.1 t=1402
quan bu 	全部	c=1 d=1 t=6776
quan bu tui 	勸不退	c=1 d=1 t=1403
quan jia 	全家	c=0 d=0.1 t=5093
quan ju 	全局	c=1 d=1 t=1115
quan pin 	全拼	c=1 d=1 t=608
quan qi lai 	圈起來	c=0 d=0.1 t=3005
quan shen 	全身	c=1 d=1 t=594
quan xian 	權限	c=10 d=1.02981 t=3885
quan ye cha 	犬夜叉	c=1 d=1 t=7354
quan zhou 	泉州	c=0 d=0.1 t=739
que dian 	缺點	c=1 d=0.1 t=5135
que dian shi 	缺點是	c=2 d=1.91393 t=5154
que ding 	確定	c=2 d=0.726149 t=8218
que ren 	確認	c=2 d=1.62189 t=1252
que shi 	確實	c=6 d=1.80252 t=7634
que shi dou you 	確實都有	c=1 d=1 t=655
que yao 	卻要	c=1 d=1 t=7966
qun 	羣	c=1 d=1 t=6741
ran hou 	然後	c=5 d=1.0009 t=6537
ran shao 	燃燒	c=1 d=1 t=2786
rang 	讓	c=5 d=1.02096 t=4052
rang ni 	讓你	c=1 d=1 t=5048
rang ren 	讓人	c=1 d=1 t=7797
rang ta 	讓他	c=2 d=1.2019 t=5100
rang wo 	讓我	c=1 d=1 t=4353
rang zi 	瓤子	c=0 d=0.1 t=1072
rang zi dan fei 	瓤子單飛	c=1 d=1 t=1073
re 	熱	c=1 d=1 t=360
re ai 	熱愛	c=1 d=1 t=274
re nao 	熱鬧	c=1 d=0.218121 t=3374
ren 	人	c=18 d=1.28382 t=7921
ren cai 	人才	c=1 d=1 t=5730
ren duo 	人多	c=1 d=1 t=1503
ren he 	任何	c=0 d=0.1 t=1494
ren ji 	人機	c=1 d=1 t=6484
ren jia 	人家	c=6 d=1.00001 t=8133
ren jun 	人均	c=1 d=1 t=6438
ren men 	人們	c=1 d=1 t=144
ren min 	人民	c=5 d=1.99501 t=6135
ren shu 	人數	c=1 d=1.08737 t=1089
ren tai duo 	人太多	c=1 d=1 t=4347
ren wu 	任務	c=1 d=1 t=4172
ren yuan 	人員	c=1 d=1 t=8005
ren zou 	人走	c=1 d=1 t=1516
ri 	日	c=1 d=1 t=1002
ri ben 	日本	c=1 d=1 t=6341
ri li 	日曆	c=3 d=1.00005 t=7241
ri qi 	日期	c=1 d=0.279964 t=7968
ri zhi 	日誌	c=3 d=1.02653 t=5115
rong ru 	融入	c=1 d=1 t=136
rou pian 	肉片	c=1 d=1 t=6628
ru 	入	c=6 d=1 t=7434
ru 	如	c=6 d=3.64405 t=2243
ru chang 	入場	c=1 d=1 t=5948
ru guo 	如果	c=3 d=1.00011 t=7246
ru guo jun 	入國軍	c=1 d=1 t=1889
ru he 	如何	c=16 d=1.09863 t=8169
ru jin 	如今	c=1 d=1 t=1030
ru kou 	入口	c=1 d=1 t=6732
ru ni 	如你	c=0 d=0.1 t=2651
ru ni suo jian 	如你所見	c=1 d=1 t=2652
ru qin 	入侵	c=1 d=1 t=1025
ru tong 	如同	c=0 d=0.1 t=2759
ruan 	軟	c=1 d=1 t=4474
ruan jian 	軟件	c=16 d=1.02471 t=8109
ruan jie 	軟解	c=1 d=1 t=2940
ruan zuo 	軟座	c=1 d=1 t=7362
rui xing 	瑞幸	c=3 d=2.68463 t=7107
run zhi 	潤之	c=1 d=1.1 t=6667
ruo 	若	c=1 d=1 t=2054
sa huang 	撒謊	c=0 d=0.1 t=2458
sa li 	薩利	c=1 d=1 t=7723
sai bo 	賽博	c=1 d=1.09501 t=383
sai bo ding zhen 	賽博丁真	c=1 d=1 t=384
san fang 	三方	c=1 d=1 t=1756
san ge 	三個	c=1 d=1 t=4851
san gui 	三桂	c=4 d=1.96603 t=6427
san pang 	三胖	c=2 d=1.07101 t=6319
san xing 	三星	c=1 d=1 t=5862
sao chu 	掃除	c=1 d=1 t=4382
sao chu lai 	掃出來	c=3 d=2.88896 t=4400
sao ma 	掃嗎	c=9 d=2.00419 t=2533
sao ma ji 	掃碼機	c=1 d=1 t=4367
sao ma ye wu 	掃嗎業務	c=1 d=1 t=1970
sao mian 	掃棉	c=1 d=1 t=3771
sao miao 	掃描	c=7 d=2.76858 t=4390
sha 	啥	c=19 d=0.946485 t=8218
sha 	殺	c=1 d=1 t=5691
sha bi 	傻逼	c=1 d=1 t=4225
sha cu 	啥粗	c=1 d=1 t=3864
sha duan wei 	啥段位	c=1 d=1 t=8205
sha le 	啥了	c=1 d=1 t=1137
sha li 	沙粒	c=1 d=1 t=5245
sha li 	莎莉	c=1 d=1 t=7738
sha ren 	殺人	c=1 d=1 t=5680
sha shi hou 	啥時候	c=3 d=1.63763 t=8042
sha si 	殺死	c=1 d=1 t=7872
sha wan yi 	啥玩意	c=2 d=1.00016 t=5788
sha wan yi 	啥萬一	c=1 d=1 t=145
sha yang 	啥樣	c=2 d=1 t=8039
sha yi si 	啥意思	c=4 d=1.00004 t=6745
shai xuan 	篩選	c=1 d=1 t=5355
shan 	刪	c=6 d=4.11907 t=4462
shan 	山	c=1 d=1 t=6999
shan 	閃	c=1 d=1 t=3976
shan chu 	刪除	c=6 d=1.00006 t=7604
shan diao 	刪掉	c=1 d=1 t=4433
shan dong 	山東	c=1 d=1 t=3826
shan dong ren 	山東人	c=1 d=1 t=303
shan guo 	閃過	c=1 d=1 t=2746
shan le 	刪了	c=2 d=1.57984 t=4447
shan ren 	善人	c=1 d=1 t=7279
shan wan 	刪完	c=1 d=1 t=4684
shan xian 	閃現	c=1 d=1 t=4858
shan yang 	山羊	c=1 d=1 t=4819
shan yin 	山陰	c=0 d=0.1 t=1526
shan yin lu 	山陰路	c=1 d=1 t=1527
shan yu 	善於	c=1 d=1 t=272
shang 	上	c=20 d=2.06176 t=8105
shang ban 	上班	c=2 d=1.00004 t=5158
shang bian 	上邊	c=1 d=1 t=4695
shang cang 	上蒼	c=2 d=1.47001 t=1618
shang ceng 	上層	c=1 d=1 t=7118
shang chuan 	上傳	c=2 d=1 t=7517
shang ci 	上次	c=1 d=1 t=1632
shang dan 	傷單	c=1 d=1 t=4770
shang de 	上的	c=1 d=1 t=7232
shang deng 	上等	c=1 d=1 t=7116
shang di 	上帝	c=2 d=1.00001 t=7973
shang ge 	上個	c=1 d=1 t=6530
shang hai 	上海	c=0 d=0.1 t=5016
shang hu 	商戶	c=0 d=0.1 t=5106
shang hu hao 	商戶號	c=3 d=1.00054 t=6754
shang jiang 	上將	c=1 d=1 t=5990
shang lai 	上來	c=1 d=1 t=1367
shang le 	上了	c=3 d=1.00001 t=5898
shang liu 	上流	c=1 d=1 t=7119
shang lu 	上路	c=1 d=1 t=7716
shang qiu 	商丘	c=2 d=1.99005 t=4138
shang qu 	上去	c=4 d=1.00006 t=8213
shang wang 	傷亡	c=1 d=1 t=1425
shang xia ban 	上下班	c=1 d=1 t=5276
shang xian 	上線	c=4 d=1.15183 t=7068
shang zuo 	上座	c=1 d=1 t=1091
shao 	少	c=2 d=1.0001 t=7469
shao 	燒	c=1 d=1 t=3961
shao deng 	稍等	c=1 d=1 t=3361
shao fa lao sao 	少發牢騷	c=1 d=1 t=6086
shao nian 	少年	c=1 d=1 t=7757
shao xiang bai fo 	燒香拜佛	c=1 d=1 t=7829
shao you 	稍有	c=1 d=1 t=3415
she 	蛇	c=1 d=1 t=6713
she bei 	設備	c=1 d=1 t=4514
she chi 	奢侈	c=1 d=1 t=1624
she hui 	社會	c=2 d=1.87372 t=6268
she hui zhu yi 	社會主義	c=3 d=2.48307 t=6301
she ji 	設計	c=1 d=1 t=4592
she me 	什麼	c=5 d=0.97531 t=8218
she qu 	社區	c=1 d=1 t=114
she xiang tou 	攝像頭	c=3 d=1.00024 t=8191
she zhi 	設置	c=10 d=1.6298 t=8218
shen 	神	c=1 d=1.00001 t=7972
shen fen zheng 	身份證	c=4 d=1 t=7008
shen he 	審覈	c=1 d=1 t=6105
shen me 	什麼	c=43 d=2.10433 t=8150
shen me ge 	什麼歌	c=1 d=1 t=1309
shen me yang 	什麼樣	c=1 d=1 t=3750
shen me yi si 	什麼意思	c=3 d=1.00045 t=7392
shen me yong 	什麼用	c=1 d=1 t=7989
shen pi 	審批	c=1 d=1 t=5032
shen qi 	神奇	c=1 d=0.111562 t=1790
shen qing 	申請	c=1 d=1.00937 t=1172
shen qing zhong 	申請重	c=2 d=1.93239 t=1187
shen ti 	身體	c=1 d=1 t=358
shen tou 	滲透	c=1 d=1 t=7800
shen xin 	深信	c=1 d=0.10002 t=6065
shen xin fu 	深信服	c=1 d=1 t=6066
shen xin fu 	神信服	c=1 d=1 t=6065
sheng 	剩	c=1 d=1 t=4361
sheng 	聖	c=2 d=1.99501 t=1956
sheng 	聲	c=0 d=0.1 t=1371
sheng cun 	生存	c=0 d=0.1 t=6758
sheng dan jie 	聖誕節	c=6 d=2.72063 t=7936
sheng de 	省得	c=1 d=1 t=101
sheng huo 	生活	c=1 d=1 t=6641
sheng huo zhong 	生活中	c=0 d=0.1 t=8177
sheng jing 	聖經	c=2 d=1.87372 t=7884
sheng lve 	省略	c=1 d=1 t=7991
sheng ming 	聲明	c=1 d=1 t=5439
sheng pa 	生怕	c=1 d=1 t=7718
sheng ri 	生日	c=1 d=1 t=3837
sheng shang 	聖上	c=2 d=1.86071 t=6160
sheng shi 	省事	c=1 d=1 t=7582
sheng shou 	生手	c=1 d=1 t=4625
sheng xiao 	生效	c=1 d=1 t=6710
sheng yin 	聲音	c=2 d=1 t=4856
shi 	事	c=7 d=1.50662 t=7674
shi 	屎	c=2 d=1.00002 t=7806
shi 	施	c=1 d=1.08065 t=123
shi 	是	c=108 d=4.56712 t=8183
shi 	時	c=1 d=1 t=6094
shi 	試	c=4 d=2.41029 t=4793
shi a 	是啊	c=3 d=1.00748 t=5583
shi ba 	是吧	c=8 d=1.00007 t=7482
shi bai 	失敗	c=4 d=1.00006 t=8164
shi bie 	識別	c=3 d=2.64584 t=3527
shi bu dong 	是不懂	c=1 d=1 t=1884
shi bu shi 	是不是	c=11 d=1 t=7303
shi bu shi hen duo 	是不是很多	c=1 d=1 t=1104
shi chang 	市場	c=1 d=1 t=1296
shi da fu 	士大夫	c=3 d=2.94063 t=147
shi de 	使得	c=1 d=1 t=7459
shi de 	是的	c=1 d=1 t=7460
shi duo shao 	是多少	c=1 d=1 t=5813
shi er 	事兒	c=1 d=1 t=4170
shi fen zhong 	十分鐘	c=0 d=0.1 t=5998
shi fou 	是否	c=3 d=1.00004 t=3203
shi ge 	是個	c=1 d=1 t=6306
shi hou 	時候	c=7 d=1.00024 t=7233
shi ji 	實際	c=2 d=1.00001 t=2563
shi ji kuai 	十幾塊	c=1 d=1.056 t=6552
shi ji kuai qian 	十幾塊錢	c=1 d=1 t=6553
shi ji nian 	十幾年	c=1 d=1 t=2237
shi ji qing kuang 	實際情況	c=1 d=1 t=6208
